epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,559.781,0.5012,2.60497,0.89296,0.01052,0.995,0.62005,0.58032,0.31709,2.99981,0.77854,0.00017148,0.00017148,0.00017148
2,1227.25,0.40459,1.07518,0.8666,1,0.26824,0.67442,0.62042,0.30543,2.8626,0.78469,0.000286514,0.000286514,0.000286514
3,1922.62,0.35546,0.74251,0.83647,0.99828,0.33,0.97026,0.94343,0.28742,2.6264,0.79193,0.000327984,0.000327984,0.000327984
4,3242,0.33331,0.6737,0.83568,0.99788,0.33333,0.99498,0.98094,0.25861,2.49565,0.78233,0.000295889,0.000295889,0.000295889
5,4027.98,0.28412,0.63418,0.81578,0.99732,0.58469,0.97491,0.96983,0.1962,2.10504,0.77852,0.000190228,0.000190228,0.000190228
